Starting BFS (two pass, full exploration) on 16 x 16 maze
Step: 194 | Position: (8,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 174
Step: 195 | Position: (7,4) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 174
Step: 196 | Position: (7,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 174
Step: 197 | Position: (8,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 174
Step: 198 | Position: (9,5) | Action: FORWARD | Unique cells visited: 175
Step: 199 | Position: (9,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 176
Step: 200 | Position: (10,4) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 177
Step: 201 | Position: (10,5) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 177
Step: 202 | Position: (11,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 177
Step: 203 | Position: (11,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 178
Step: 204 | Position: (11,3) | Action: FORWARD | Unique cells visited: 179
Step: 205 | Position: (12,3) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 180
Step: 206 | Position: (13,3) | Action: FORWARD | Unique cells visited: 181
Step: 207 | Position: (14,3) | Action: FORWARD | Unique cells visited: 182
Step: 208 | Position: (14,4) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 183
Step: 209 | Position: (15,4) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 184
Step: 210 | Position: (15,3) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 185
Step: 211 | Position: (15,2) | Action: FORWARD | Unique cells visited: 186
Step: 212 | Position: (15,1) | Action: FORWARD | Unique cells visited: 187
Step: 213 | Position: (15,0) | Action: FORWARD | Unique cells visited: 188
Step: 214 | Position: (14,0) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 189
Step: 215 | Position: (14,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 190
Step: 216 | Position: (14,2) | Action: FORWARD | Unique cells visited: 191
Step: 217 | Position: (13,2) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 192
Step: 218 | Position: (12,2) | Action: FORWARD | Unique cells visited: 193
Step: 219 | Position: (11,2) | Action: FORWARD | Unique cells visited: 194
Step: 220 | Position: (11,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 195
Step: 221 | Position: (11,0) | Action: FORWARD | Unique cells visited: 196
Step: 222 | Position: (11,1) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 196
Step: 223 | Position: (11,2) | Action: FORWARD | Unique cells visited: 196
Step: 224 | Position: (12,2) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 196
Step: 225 | Position: (13,2) | Action: FORWARD | Unique cells visited: 196
Step: 226 | Position: (14,2) | Action: FORWARD | Unique cells visited: 196
Step: 227 | Position: (14,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 196
Step: 228 | Position: (14,0) | Action: FORWARD | Unique cells visited: 196
Step: 229 | Position: (13,0) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 197
Step: 230 | Position: (12,0) | Action: FORWARD | Unique cells visited: 198
Step: 231 | Position: (12,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 199
Step: 232 | Position: (13,1) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 200
Step: 233 | Position: (12,1) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 200
Step: 234 | Position: (12,0) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 200
Step: 235 | Position: (13,0) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 200
Step: 236 | Position: (14,0) | Action: FORWARD | Unique cells visited: 200
Step: 237 | Position: (15,0) | Action: FORWARD | Unique cells visited: 200
Step: 238 | Position: (15,1) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 200
Step: 239 | Position: (15,2) | Action: FORWARD | Unique cells visited: 200
Step: 240 | Position: (15,3) | Action: FORWARD | Unique cells visited: 200
Step: 241 | Position: (15,4) | Action: FORWARD | Unique cells visited: 200
Step: 242 | Position: (14,4) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 200
Step: 243 | Position: (13,4) | Action: FORWARD | Unique cells visited: 201
Step: 244 | Position: (12,4) | Action: FORWARD | Unique cells visited: 202
Step: 245 | Position: (12,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 203
Step: 246 | Position: (12,6) | Action: FORWARD | Unique cells visited: 204
Step: 247 | Position: (13,6) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 205
Step: 248 | Position: (14,6) | Action: FORWARD | Unique cells visited: 206
Step: 249 | Position: (14,7) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 207
Step: 250 | Position: (15,7) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 208
Step: 251 | Position: (15,6) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 209
Step: 252 | Position: (15,5) | Action: FORWARD | Unique cells visited: 210
Step: 253 | Position: (14,5) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 211
Step: 254 | Position: (13,5) | Action: FORWARD | Unique cells visited: 212
